Date,MinTemperature,MaxTemperature,Humidity,WindSpeed,Pressure,Rainfall,Sunshine,Cloudiness,DewPoint,UVIndex
2024-01-01,18.0,22.5,60,15,1013,0.0,7,30,18.0,5
2024-01-02,18.5,23.0,58,12,1012,0.1,6,40,18.5,4
2024-01-03,19.0,21.0,62,16,1011,0.2,8,35,19.0,3
2024-01-04,17.5,25.0,55,14,1010,0.0,9,25,17.5,6
2024-01-05,18.0,24.0,57,13,1011,0.0,8,33,18.0,4
2024-01-06,17.0,22.0,60,18,1013,0.3,7,38,17.0,5
2024-01-07,18.2,23.5,59,14,1014,0.0,6,32,18.2,4
2024-01-08,19.0,20.0,65,20,1010,0.5,8,42,19.0,3
2024-01-09,18.8,21.5,64,19,1009,0.2,7,40,18.8,4
2024-01-10,18.3,22.2,61,17,1012,0.1,7,37,18.3,5
